date,latitude,longitude,planting_prob,irrigation_prob,planting_recommendation,irrigation_recommendation
2015-05-08,40.43,-86.9,0.9992954645744831,0.0,Consider planting this week,No action
2015-05-09,40.43,-86.9,0.8579493581322423,0.0,Consider planting this week,No action
2015-05-10,40.43,-86.9,0.6883404547142317,0.0,Consider planting this week,No action
2015-05-13,40.43,-86.9,0.9846578439997756,0.0,Consider planting this week,No action
2015-05-23,40.43,-86.9,0.6396266226981753,0.0,Consider planting this week,No action
2015-05-28,40.43,-86.9,0.9744700924639428,0.0,Consider planting this week,No action
2015-05-29,40.43,-86.9,0.901932167135952,0.0,Consider planting this week,No action
2015-06-10,40.43,-86.9,0.944322193712832,0.0,Consider planting this week,No action
2015-06-11,40.43,-86.9,0.9361800610055072,0.0,Consider planting this week,No action
2015-06-13,40.43,-86.9,0.9364754033149594,0.0,Consider planting this week,No action
2015-06-16,40.43,-86.9,0.7892148223832857,0.0,Consider planting this week,No action
2015-07-24,40.43,-86.9,0.7192918759362243,0.0,Consider planting this week,No action
2015-07-28,40.43,-86.9,0.6319860570704233,0.0,Consider planting this week,No action
2016-04-23,40.43,-86.9,0.8945069812870934,0.0,Consider planting this week,No action
2016-05-25,40.43,-86.9,0.8301487371965623,0.0,Consider planting this week,No action
2015-03-21,40.43,-86.85,0.957628826423418,0.0,Consider planting this week,No action
2015-04-11,40.43,-86.85,0.8701703967312362,0.0,Consider planting this week,No action
2015-04-15,40.43,-86.85,0.9736671926924756,0.0,Consider planting this week,No action
2015-04-17,40.43,-86.85,0.9818468434846592,0.0,Consider planting this week,No action
2015-04-18,40.43,-86.85,0.8073886488224574,0.0,Consider planting this week,No action
2015-04-21,40.43,-86.85,0.6122939372681858,0.0,Consider planting this week,No action
2015-04-23,40.43,-86.85,0.8119694904034109,0.0,Consider planting this week,No action
2015-04-28,40.43,-86.85,0.7777739239416024,0.0,Consider planting this week,No action
2015-05-02,40.43,-86.85,0.6568496496079315,0.0,Consider planting this week,No action
2015-05-03,40.43,-86.85,0.8788798342441899,0.0,Consider planting this week,No action
2015-05-05,40.43,-86.85,0.9851817945408988,0.0,Consider planting this week,No action
2015-05-06,40.43,-86.85,0.9877398041610228,0.0,Consider planting this week,No action
2015-05-07,40.43,-86.85,0.998258017556256,0.0,Consider planting this week,No action
2015-05-08,40.43,-86.85,0.9992954645744831,0.0,Consider planting this week,No action
2015-05-09,40.43,-86.85,0.8579493581322423,0.0,Consider planting this week,No action
2015-05-10,40.43,-86.85,0.6883404547142317,0.0,Consider planting this week,No action
2015-05-13,40.43,-86.85,0.9846578439997756,0.0,Consider planting this week,No action
2015-05-23,40.43,-86.85,0.6396266226981753,0.0,Consider planting this week,No action
2015-05-28,40.43,-86.85,0.9744700924639428,0.0,Consider planting this week,No action
2015-05-29,40.43,-86.85,0.901932167135952,0.0,Consider planting this week,No action
2015-06-10,40.43,-86.85,0.944322193712832,0.0,Consider planting this week,No action
2015-06-11,40.43,-86.85,0.9361800610055072,0.0,Consider planting this week,No action
2015-06-13,40.43,-86.85,0.9364754033149594,0.0,Consider planting this week,No action
2015-06-16,40.43,-86.85,0.7892148223832857,0.0,Consider planting this week,No action
2015-07-24,40.43,-86.85,0.7192918759362243,0.0,Consider planting this week,No action
2015-07-28,40.43,-86.85,0.6319860570704233,0.0,Consider planting this week,No action
2016-04-23,40.43,-86.85,0.8945069812870934,0.0,Consider planting this week,No action
2016-05-25,40.43,-86.85,0.8301487371965623,0.0,Consider planting this week,No action
2015-03-21,40.43,-86.8,0.957628826423418,0.0,Consider planting this week,No action
2015-04-11,40.43,-86.8,0.8701703967312362,0.0,Consider planting this week,No action
2015-04-15,40.43,-86.8,0.9736671926924756,0.0,Consider planting this week,No action
2015-04-17,40.43,-86.8,0.9818468434846592,0.0,Consider planting this week,No action
2015-04-18,40.43,-86.8,0.8073886488224574,0.0,Consider planting this week,No action
2015-04-21,40.43,-86.8,0.6122939372681858,0.0,Consider planting this week,No action
2015-04-23,40.43,-86.8,0.8119694904034109,0.0,Consider planting this week,No action
2015-04-28,40.43,-86.8,0.7777739239416024,0.0,Consider planting this week,No action
2015-05-02,40.43,-86.8,0.6568496496079315,0.0,Consider planting this week,No action
2015-05-03,40.43,-86.8,0.8788798342441899,0.0,Consider planting this week,No action
2015-05-05,40.43,-86.8,0.9851817945408988,0.0,Consider planting this week,No action
2015-05-06,40.43,-86.8,0.9877398041610228,0.0,Consider planting this week,No action
2015-05-07,40.43,-86.8,0.998258017556256,0.0,Consider planting this week,No action
2015-05-08,40.43,-86.8,0.9992954645744831,0.0,Consider planting this week,No action
2015-05-09,40.43,-86.8,0.8579493581322423,0.0,Consider planting this week,No action
2015-05-10,40.43,-86.8,0.6883404547142317,0.0,Consider planting this week,No action
2015-05-13,40.43,-86.8,0.9846578439997756,0.0,Consider planting this week,No action
2015-05-23,40.43,-86.8,0.6396266226981753,0.0,Consider planting this week,No action
2015-05-28,40.43,-86.8,0.9744700924639428,0.0,Consider planting this week,No action
2015-05-29,40.43,-86.8,0.901932167135952,0.0,Consider planting this week,No action
2015-06-10,40.43,-86.8,0.944322193712832,0.0,Consider planting this week,No action
2015-06-11,40.43,-86.8,0.9361800610055072,0.0,Consider planting this week,No action
2015-06-13,40.43,-86.8,0.9364754033149594,0.0,Consider planting this week,No action
2015-06-16,40.43,-86.8,0.7892148223832857,0.0,Consider planting this week,No action
2015-07-24,40.43,-86.8,0.7192918759362243,0.0,Consider planting this week,No action
2015-07-28,40.43,-86.8,0.6319860570704233,0.0,Consider planting this week,No action
2016-04-23,40.43,-86.8,0.8945069812870934,0.0,Consider planting this week,No action
2016-05-25,40.43,-86.8,0.8301487371965623,0.0,Consider planting this week,No action
2015-03-21,40.48,-87.0,0.957628826423418,0.0,Consider planting this week,No action
2015-04-11,40.48,-87.0,0.8701703967312362,0.0,Consider planting this week,No action
2015-04-15,40.48,-87.0,0.9736671926924756,0.0,Consider planting this week,No action
2015-04-17,40.48,-87.0,0.9818468434846592,0.0,Consider planting this week,No action
2015-04-18,40.48,-87.0,0.8073886488224574,0.0,Consider planting this week,No action
2015-04-21,40.48,-87.0,0.6122939372681858,0.0,Consider planting this week,No action
2015-04-23,40.48,-87.0,0.8119694904034109,0.0,Consider planting this week,No action
2015-04-28,40.48,-87.0,0.7777739239416024,0.0,Consider planting this week,No action
2015-05-02,40.48,-87.0,0.6568496496079315,0.0,Consider planting this week,No action
2015-05-03,40.48,-87.0,0.8788798342441899,0.0,Consider planting this week,No action
2015-05-05,40.48,-87.0,0.9851817945408988,0.0,Consider planting this week,No action
2015-05-06,40.48,-87.0,0.9877398041610228,0.0,Consider planting this week,No action
2015-05-07,40.48,-87.0,0.998258017556256,0.0,Consider planting this week,No action
2015-05-08,40.48,-87.0,0.9992954645744831,0.0,Consider planting this week,No action
2015-05-09,40.48,-87.0,0.8579493581322423,0.0,Consider planting this week,No action
2015-05-10,40.48,-87.0,0.6883404547142317,0.0,Consider planting this week,No action
2015-05-13,40.48,-87.0,0.9846578439997756,0.0,Consider planting this week,No action
2015-05-23,40.48,-87.0,0.6396266226981753,0.0,Consider planting this week,No action
2015-05-28,40.48,-87.0,0.9744700924639428,0.0,Consider planting this week,No action
2015-05-29,40.48,-87.0,0.901932167135952,0.0,Consider planting this week,No action
2015-06-10,40.48,-87.0,0.944322193712832,0.0,Consider planting this week,No action
2015-06-11,40.48,-87.0,0.9361800610055072,0.0,Consider planting this week,No action
2015-06-13,40.48,-87.0,0.9364754033149594,0.0,Consider planting this week,No action
2015-06-16,40.48,-87.0,0.7892148223832857,0.0,Consider planting this week,No action
2015-07-24,40.48,-87.0,0.7192918759362243,0.0,Consider planting this week,No action
2015-07-28,40.48,-87.0,0.6319860570704233,0.0,Consider planting this week,No action
2016-04-23,40.48,-87.0,0.8945069812870934,0.0,Consider planting this week,No action
2016-05-25,40.48,-87.0,0.8301487371965623,0.0,Consider planting this week,No action
2015-03-21,40.48,-86.95,0.957628826423418,0.0,Consider planting this week,No action
2015-04-11,40.48,-86.95,0.8701703967312362,0.0,Consider planting this week,No action
2015-04-15,40.48,-86.95,0.9736671926924756,0.0,Consider planting this week,No action
2015-04-17,40.48,-86.95,0.9818468434846592,0.0,Consider planting this week,No action
2015-04-18,40.48,-86.95,0.8073886488224574,0.0,Consider planting this week,No action
2015-04-21,40.48,-86.95,0.6122939372681858,0.0,Consider planting this week,No action
2015-04-23,40.48,-86.95,0.8119694904034109,0.0,Consider planting this week,No action
2015-04-28,40.48,-86.95,0.7777739239416024,0.0,Consider planting this week,No action
2015-05-02,40.48,-86.95,0.6568496496079315,0.0,Consider planting this week,No action
2015-05-03,40.48,-86.95,0.8788798342441899,0.0,Consider planting this week,No action
2015-05-05,40.48,-86.95,0.9851817945408988,0.0,Consider planting this week,No action
2015-05-06,40.48,-86.95,0.9877398041610228,0.0,Consider planting this week,No action
2015-05-07,40.48,-86.95,0.998258017556256,0.0,Consider planting this week,No action
2015-05-08,40.48,-86.95,0.9992954645744831,0.0,Consider planting this week,No action
2015-05-09,40.48,-86.95,0.8579493581322423,0.0,Consider planting this week,No action
2015-05-10,40.48,-86.95,0.6883404547142317,0.0,Consider planting this week,No action
2015-05-13,40.48,-86.95,0.9846578439997756,0.0,Consider planting this week,No action
2015-05-23,40.48,-86.95,0.6396266226981753,0.0,Consider planting this week,No action
2015-05-28,40.48,-86.95,0.9744700924639428,0.0,Consider planting this week,No action
2015-05-29,40.48,-86.95,0.901932167135952,0.0,Consider planting this week,No action
2015-06-10,40.48,-86.95,0.944322193712832,0.0,Consider planting this week,No action
2015-06-11,40.48,-86.95,0.9361800610055072,0.0,Consider planting this week,No action
2015-06-13,40.48,-86.95,0.9364754033149594,0.0,Consider planting this week,No action
2015-06-16,40.48,-86.95,0.7892148223832857,0.0,Consider planting this week,No action
2015-07-24,40.48,-86.95,0.7192918759362243,0.0,Consider planting this week,No action
2015-07-28,40.48,-86.95,0.6319860570704233,0.0,Consider planting this week,No action
2016-04-23,40.48,-86.95,0.8945069812870934,0.0,Consider planting this week,No action
2016-05-25,40.48,-86.95,0.8301487371965623,0.0,Consider planting this week,No action
2015-03-21,40.48,-86.9,0.957628826423418,0.0,Consider planting this week,No action
2015-04-11,40.48,-86.9,0.8701703967312362,0.0,Consider planting this week,No action
2015-04-15,40.48,-86.9,0.9736671926924756,0.0,Consider planting this week,No action
2015-04-17,40.48,-86.9,0.9818468434846592,0.0,Consider planting this week,No action
2015-04-18,40.48,-86.9,0.8073886488224574,0.0,Consider planting this week,No action
2015-04-21,40.48,-86.9,0.6122939372681858,0.0,Consider planting this week,No action
2015-04-23,40.48,-86.9,0.8119694904034109,0.0,Consider planting this week,No action
2015-04-28,40.48,-86.9,0.7777739239416024,0.0,Consider planting this week,No action
2015-05-02,40.48,-86.9,0.6568496496079315,0.0,Consider planting this week,No action
2015-05-03,40.48,-86.9,0.8788798342441899,0.0,Consider planting this week,No action
2015-05-05,40.48,-86.9,0.9851817945408988,0.0,Consider planting this week,No action
2015-05-06,40.48,-86.9,0.9877398041610228,0.0,Consider planting this week,No action
2015-05-07,40.48,-86.9,0.998258017556256,0.0,Consider planting this week,No action
2015-05-08,40.48,-86.9,0.9992954645744831,0.0,Consider planting this week,No action
2015-05-09,40.48,-86.9,0.8579493581322423,0.0,Consider planting this week,No action
2015-05-10,40.48,-86.9,0.6883404547142317,0.0,Consider planting this week,No action
2015-05-13,40.48,-86.9,0.9846578439997756,0.0,Consider planting this week,No action
2015-05-23,40.48,-86.9,0.6396266226981753,0.0,Consider planting this week,No action
2015-05-28,40.48,-86.9,0.9744700924639428,0.0,Consider planting this week,No action
2015-05-29,40.48,-86.9,0.901932167135952,0.0,Consider planting this week,No action
2015-06-10,40.48,-86.9,0.944322193712832,0.0,Consider planting this week,No action
2015-06-11,40.48,-86.9,0.9361800610055072,0.0,Consider planting this week,No action
2015-06-13,40.48,-86.9,0.9364754033149594,0.0,Consider planting this week,No action
2015-06-16,40.48,-86.9,0.7892148223832857,0.0,Consider planting this week,No action
2015-07-24,40.48,-86.9,0.7192918759362243,0.0,Consider planting this week,No action
2015-07-28,40.48,-86.9,0.6319860570704233,0.0,Consider planting this week,No action
2016-04-23,40.48,-86.9,0.8945069812870934,0.0,Consider planting this week,No action
2016-05-25,40.48,-86.9,0.8301487371965623,0.0,Consider planting this week,No action
2015-03-21,40.48,-86.85,0.957628826423418,0.0,Consider planting this week,No action
2015-04-11,40.48,-86.85,0.8701703967312362,0.0,Consider planting this week,No action
2015-04-15,40.48,-86.85,0.9736671926924756,0.0,Consider planting this week,No action
2015-04-17,40.48,-86.85,0.9818468434846592,0.0,Consider planting this week,No action
2015-04-18,40.48,-86.85,0.8073886488224574,0.0,Consider planting this week,No action
2015-04-21,40.48,-86.85,0.6122939372681858,0.0,Consider planting this week,No action
2015-04-23,40.48,-86.85,0.8119694904034109,0.0,Consider planting this week,No action
2015-04-28,40.48,-86.85,0.7777739239416024,0.0,Consider planting this week,No action
2015-05-02,40.48,-86.85,0.6568496496079315,0.0,Consider planting this week,No action
2015-05-03,40.48,-86.85,0.8788798342441899,0.0,Consider planting this week,No action
2015-05-05,40.48,-86.85,0.9851817945408988,0.0,Consider planting this week,No action
2015-05-06,40.48,-86.85,0.9877398041610228,0.0,Consider planting this week,No action
2015-05-07,40.48,-86.85,0.998258017556256,0.0,Consider planting this week,No action
2015-05-08,40.48,-86.85,0.9992954645744831,0.0,Consider planting this week,No action
2015-05-09,40.48,-86.85,0.8579493581322423,0.0,Consider planting this week,No action
2015-05-10,40.48,-86.85,0.6883404547142317,0.0,Consider planting this week,No action
2015-05-13,40.48,-86.85,0.9846578439997756,0.0,Consider planting this week,No action
2015-05-23,40.48,-86.85,0.6396266226981753,0.0,Consider planting this week,No action
2015-05-28,40.48,-86.85,0.9744700924639428,0.0,Consider planting this week,No action
2015-05-29,40.48,-86.85,0.901932167135952,0.0,Consider planting this week,No action
2015-06-10,40.48,-86.85,0.944322193712832,0.0,Consider planting this week,No action
2015-06-11,40.48,-86.85,0.9361800610055072,0.0,Consider planting this week,No action
2015-06-13,40.48,-86.85,0.9364754033149594,0.0,Consider planting this week,No action
2015-06-16,40.48,-86.85,0.7892148223832857,0.0,Consider planting this week,No action
2015-07-24,40.48,-86.85,0.7192918759362243,0.0,Consider planting this week,No action
2015-07-28,40.48,-86.85,0.6319860570704233,0.0,Consider planting this week,No action
2016-04-23,40.48,-86.85,0.8945069812870934,0.0,Consider planting this week,No action
2016-05-25,40.48,-86.85,0.8301487371965623,0.0,Consider planting this week,No action
2015-03-21,40.48,-86.8,0.957628826423418,0.0,Consider planting this week,No action
2015-04-11,40.48,-86.8,0.8701703967312362,0.0,Consider planting this week,No action
2015-04-15,40.48,-86.8,0.9736671926924756,0.0,Consider planting this week,No action
2015-04-17,40.48,-86.8,0.9818468434846592,0.0,Consider planting this week,No action
2015-04-18,40.48,-86.8,0.8073886488224574,0.0,Consider planting this week,No action
2015-04-21,40.48,-86.8,0.6122939372681858,0.0,Consider planting this week,No action
2015-04-23,40.48,-86.8,0.8119694904034109,0.0,Consider planting this week,No action
2015-04-28,40.48,-86.8,0.7777739239416024,0.0,Consider planting this week,No action
2015-05-02,40.48,-86.8,0.6568496496079315,0.0,Consider planting this week,No action
2015-05-03,40.48,-86.8,0.8788798342441899,0.0,Consider planting this week,No action
2015-05-05,40.48,-86.8,0.9851817945408988,0.0,Consider planting this week,No action
2015-05-06,40.48,-86.8,0.9877398041610228,0.0,Consider planting this week,No action
2015-05-07,40.48,-86.8,0.998258017556256,0.0,Consider planting this week,No action
2015-05-08,40.48,-86.8,0.9992954645744831,0.0,Consider planting this week,No action
2015-05-09,40.48,-86.8,0.8579493581322423,0.0,Consider planting this week,No action
2015-05-10,40.48,-86.8,0.6883404547142317,0.0,Consider planting this week,No action
2015-05-13,40.48,-86.8,0.9846578439997756,0.0,Consider planting this week,No action
2015-05-23,40.48,-86.8,0.6396266226981753,0.0,Consider planting this week,No action
2015-05-28,40.48,-86.8,0.9744700924639428,0.0,Consider planting this week,No action
2015-05-29,40.48,-86.8,0.901932167135952,0.0,Consider planting this week,No action
2015-06-10,40.48,-86.8,0.944322193712832,0.0,Consider planting this week,No action
2015-06-11,40.48,-86.8,0.9361800610055072,0.0,Consider planting this week,No action
2015-06-13,40.48,-86.8,0.9364754033149594,0.0,Consider planting this week,No action
2015-06-16,40.48,-86.8,0.7892148223832857,0.0,Consider planting this week,No action
2015-07-24,40.48,-86.8,0.7192918759362243,0.0,Consider planting this week,No action
2015-07-28,40.48,-86.8,0.6319860570704233,0.0,Consider planting this week,No action
2016-04-23,40.48,-86.8,0.8945069812870934,0.0,Consider planting this week,No action
2016-05-25,40.48,-86.8,0.8301487371965623,0.0,Consider planting this week,No action
2015-03-21,40.53,-87.0,0.957628826423418,0.0,Consider planting this week,No action
2015-04-11,40.53,-87.0,0.8701703967312362,0.0,Consider planting this week,No action
2015-04-15,40.53,-87.0,0.9736671926924756,0.0,Consider planting this week,No action
2015-04-17,40.53,-87.0,0.9818468434846592,0.0,Consider planting this week,No action
2015-04-18,40.53,-87.0,0.8073886488224574,0.0,Consider planting this week,No action
2015-04-21,40.53,-87.0,0.6122939372681858,0.0,Consider planting this week,No action
2015-04-23,40.53,-87.0,0.8119694904034109,0.0,Consider planting this week,No action
2015-04-28,40.53,-87.0,0.7777739239416024,0.0,Consider planting this week,No action
2015-05-02,40.53,-87.0,0.6568496496079315,0.0,Consider planting this week,No action
2015-05-03,40.53,-87.0,0.8788798342441899,0.0,Consider planting this week,No action
2015-05-05,40.53,-87.0,0.9851817945408988,0.0,Consider planting this week,No action
2015-05-06,40.53,-87.0,0.9877398041610228,0.0,Consider planting this week,No action
2015-05-07,40.53,-87.0,0.998258017556256,0.0,Consider planting this week,No action
2015-05-08,40.53,-87.0,0.9992954645744831,0.0,Consider planting this week,No action
2015-05-09,40.53,-87.0,0.8579493581322423,0.0,Consider planting this week,No action
2015-05-10,40.53,-87.0,0.6883404547142317,0.0,Consider planting this week,No action
2015-05-13,40.53,-87.0,0.9846578439997756,0.0,Consider planting this week,No action
2015-05-23,40.53,-87.0,0.6396266226981753,0.0,Consider planting this week,No action
2015-05-28,40.53,-87.0,0.9744700924639428,0.0,Consider planting this week,No action
2015-05-29,40.53,-87.0,0.901932167135952,0.0,Consider planting this week,No action
2015-06-10,40.53,-87.0,0.944322193712832,0.0,Consider planting this week,No action
2015-06-11,40.53,-87.0,0.9361800610055072,0.0,Consider planting this week,No action
2015-06-13,40.53,-87.0,0.9364754033149594,0.0,Consider planting this week,No action
2015-06-16,40.53,-87.0,0.7892148223832857,0.0,Consider planting this week,No action
2015-07-24,40.53,-87.0,0.7192918759362243,0.0,Consider planting this week,No action
2015-07-28,40.53,-87.0,0.6319860570704233,0.0,Consider planting this week,No action
2016-04-23,40.53,-87.0,0.8945069812870934,0.0,Consider planting this week,No action
2016-05-25,40.53,-87.0,0.8301487371965623,0.0,Consider planting this week,No action
2015-03-21,40.53,-86.95,0.957628826423418,0.0,Consider planting this week,No action
2015-04-11,40.53,-86.95,0.8701703967312362,0.0,Consider planting this week,No action
2015-04-15,40.53,-86.95,0.9736671926924756,0.0,Consider planting this week,No action
2015-04-17,40.53,-86.95,0.9818468434846592,0.0,Consider planting this week,No action
2015-04-18,40.53,-86.95,0.8073886488224574,0.0,Consider planting this week,No action
2015-04-21,40.53,-86.95,0.6122939372681858,0.0,Consider planting this week,No action
2015-04-23,40.53,-86.95,0.8119694904034109,0.0,Consider planting this week,No action
2015-04-28,40.53,-86.95,0.7777739239416024,0.0,Consider planting this week,No action
2015-05-02,40.53,-86.95,0.6568496496079315,0.0,Consider planting this week,No action
2015-05-03,40.53,-86.95,0.8788798342441899,0.0,Consider planting this week,No action
2015-05-05,40.53,-86.95,0.9851817945408988,0.0,Consider planting this week,No action
2015-05-06,40.53,-86.95,0.9877398041610228,0.0,Consider planting this week,No action
2015-05-07,40.53,-86.95,0.998258017556256,0.0,Consider planting this week,No action
2015-05-08,40.53,-86.95,0.9992954645744831,0.0,Consider planting this week,No action
2015-05-09,40.53,-86.95,0.8579493581322423,0.0,Consider planting this week,No action
2015-05-10,40.53,-86.95,0.6883404547142317,0.0,Consider planting this week,No action
2015-05-13,40.53,-86.95,0.9846578439997756,0.0,Consider planting this week,No action
2015-05-23,40.53,-86.95,0.6396266226981753,0.0,Consider planting this week,No action
2015-05-28,40.53,-86.95,0.9744700924639428,0.0,Consider planting this week,No action
2015-05-29,40.53,-86.95,0.901932167135952,0.0,Consider planting this week,No action
2015-06-10,40.53,-86.95,0.944322193712832,0.0,Consider planting this week,No action
2015-06-11,40.53,-86.95,0.9361800610055072,0.0,Consider planting this week,No action
2015-06-13,40.53,-86.95,0.9364754033149594,0.0,Consider planting this week,No action
2015-06-16,40.53,-86.95,0.7892148223832857,0.0,Consider planting this week,No action
2015-07-24,40.53,-86.95,0.7192918759362243,0.0,Consider planting this week,No action
2015-07-28,40.53,-86.95,0.6319860570704233,0.0,Consider planting this week,No action
2016-04-23,40.53,-86.95,0.8945069812870934,0.0,Consider planting this week,No action
2016-05-25,40.53,-86.95,0.8301487371965623,0.0,Consider planting this week,No action
2015-03-21,40.53,-86.9,0.957628826423418,0.0,Consider planting this week,No action
2015-04-11,40.53,-86.9,0.8701703967312362,0.0,Consider planting this week,No action
2015-04-15,40.53,-86.9,0.9736671926924756,0.0,Consider planting this week,No action
2015-04-17,40.53,-86.9,0.9818468434846592,0.0,Consider planting this week,No action
2015-04-18,40.53,-86.9,0.8073886488224574,0.0,Consider planting this week,No action
2015-04-21,40.53,-86.9,0.6122939372681858,0.0,Consider planting this week,No action
2015-04-23,40.53,-86.9,0.8119694904034109,0.0,Consider planting this week,No action
2015-04-28,40.53,-86.9,0.7777739239416024,0.0,Consider planting this week,No action
2015-05-02,40.53,-86.9,0.6568496496079315,0.0,Consider planting this week,No action
2015-05-03,40.53,-86.9,0.8788798342441899,0.0,Consider planting this week,No action
2015-05-05,40.53,-86.9,0.9851817945408988,0.0,Consider planting this week,No action
2015-05-06,40.53,-86.9,0.9877398041610228,0.0,Consider planting this week,No action
2015-05-07,40.53,-86.9,0.998258017556256,0.0,Consider planting this week,No action
2015-05-08,40.53,-86.9,0.9992954645744831,0.0,Consider planting this week,No action
2015-05-09,40.53,-86.9,0.8579493581322423,0.0,Consider planting this week,No action
2015-05-10,40.53,-86.9,0.6883404547142317,0.0,Consider planting this week,No action
2015-05-13,40.53,-86.9,0.9846578439997756,0.0,Consider planting this week,No action
2015-05-23,40.53,-86.9,0.6396266226981753,0.0,Consider planting this week,No action
2015-05-28,40.53,-86.9,0.9744700924639428,0.0,Consider planting this week,No action
2015-05-29,40.53,-86.9,0.901932167135952,0.0,Consider planting this week,No action
2015-06-10,40.53,-86.9,0.944322193712832,0.0,Consider planting this week,No action
2015-06-11,40.53,-86.9,0.9361800610055072,0.0,Consider planting this week,No action
2015-06-13,40.53,-86.9,0.9364754033149594,0.0,Consider planting this week,No action
2015-06-16,40.53,-86.9,0.7892148223832857,0.0,Consider planting this week,No action
2015-07-24,40.53,-86.9,0.7192918759362243,0.0,Consider planting this week,No action
2015-07-28,40.53,-86.9,0.6319860570704233,0.0,Consider planting this week,No action
2016-04-23,40.53,-86.9,0.8945069812870934,0.0,Consider planting this week,No action
2016-05-25,40.53,-86.9,0.8301487371965623,0.0,Consider planting this week,No action
2015-03-21,40.53,-86.85,0.957628826423418,0.0,Consider planting this week,No action
2015-04-11,40.53,-86.85,0.8701703967312362,0.0,Consider planting this week,No action
2015-04-15,40.53,-86.85,0.9736671926924756,0.0,Consider planting this week,No action
2015-04-17,40.53,-86.85,0.9818468434846592,0.0,Consider planting this week,No action
2015-04-18,40.53,-86.85,0.8073886488224574,0.0,Consider planting this week,No action
2015-04-21,40.53,-86.85,0.6122939372681858,0.0,Consider planting this week,No action
2015-04-23,40.53,-86.85,0.8119694904034109,0.0,Consider planting this week,No action
2015-04-28,40.53,-86.85,0.7777739239416024,0.0,Consider planting this week,No action
2015-05-02,40.53,-86.85,0.6568496496079315,0.0,Consider planting this week,No action
2015-05-03,40.53,-86.85,0.8788798342441899,0.0,Consider planting this week,No action
2015-05-05,40.53,-86.85,0.9851817945408988,0.0,Consider planting this week,No action
2015-05-06,40.53,-86.85,0.9877398041610228,0.0,Consider planting this week,No action
2015-05-07,40.53,-86.85,0.998258017556256,0.0,Consider planting this week,No action
2015-05-08,40.53,-86.85,0.9992954645744831,0.0,Consider planting this week,No action
2015-05-09,40.53,-86.85,0.8579493581322423,0.0,Consider planting this week,No action
2015-05-10,40.53,-86.85,0.6883404547142317,0.0,Consider planting this week,No action
2015-05-13,40.53,-86.85,0.9846578439997756,0.0,Consider planting this week,No action
2015-05-23,40.53,-86.85,0.6396266226981753,0.0,Consider planting this week,No action
2015-05-28,40.53,-86.85,0.9744700924639428,0.0,Consider planting this week,No action
2015-05-29,40.53,-86.85,0.901932167135952,0.0,Consider planting this week,No action
2015-06-10,40.53,-86.85,0.944322193712832,0.0,Consider planting this week,No action
2015-06-11,40.53,-86.85,0.9361800610055072,0.0,Consider planting this week,No action
2015-06-13,40.53,-86.85,0.9364754033149594,0.0,Consider planting this week,No action
2015-06-16,40.53,-86.85,0.7892148223832857,0.0,Consider planting this week,No action
2015-07-24,40.53,-86.85,0.7192918759362243,0.0,Consider planting this week,No action
2015-07-28,40.53,-86.85,0.6319860570704233,0.0,Consider planting this week,No action
2016-04-23,40.53,-86.85,0.8945069812870934,0.0,Consider planting this week,No action
2016-05-25,40.53,-86.85,0.8301487371965623,0.0,Consider planting this week,No action
2015-03-21,40.53,-86.8,0.957628826423418,0.0,Consider planting this week,No action
2015-04-11,40.53,-86.8,0.8701703967312362,0.0,Consider planting this week,No action
2015-04-15,40.53,-86.8,0.9736671926924756,0.0,Consider planting this week,No action
2015-04-17,40.53,-86.8,0.9818468434846592,0.0,Consider planting this week,No action
2015-04-18,40.53,-86.8,0.8073886488224574,0.0,Consider planting this week,No action
2015-04-21,40.53,-86.8,0.6122939372681858,0.0,Consider planting this week,No action
2015-04-23,40.53,-86.8,0.8119694904034109,0.0,Consider planting this week,No action
2015-04-28,40.53,-86.8,0.7777739239416024,0.0,Consider planting this week,No action
2015-05-02,40.53,-86.8,0.6568496496079315,0.0,Consider planting this week,No action
2015-05-03,40.53,-86.8,0.8788798342441899,0.0,Consider planting this week,No action
2015-05-05,40.53,-86.8,0.9851817945408988,0.0,Consider planting this week,No action
2015-05-06,40.53,-86.8,0.9877398041610228,0.0,Consider planting this week,No action
2015-05-07,40.53,-86.8,0.998258017556256,0.0,Consider planting this week,No action
2015-05-08,40.53,-86.8,0.9992954645744831,0.0,Consider planting this week,No action
2015-05-09,40.53,-86.8,0.8579493581322423,0.0,Consider planting this week,No action
2015-05-10,40.53,-86.8,0.6883404547142317,0.0,Consider planting this week,No action
2015-05-13,40.53,-86.8,0.9846578439997756,0.0,Consider planting this week,No action
2015-05-23,40.53,-86.8,0.6396266226981753,0.0,Consider planting this week,No action
2015-05-28,40.53,-86.8,0.9744700924639428,0.0,Consider planting this week,No action
2015-05-29,40.53,-86.8,0.901932167135952,0.0,Consider planting this week,No action
2015-06-10,40.53,-86.8,0.944322193712832,0.0,Consider planting this week,No action
2015-06-11,40.53,-86.8,0.9361800610055072,0.0,Consider planting this week,No action
2015-06-13,40.53,-86.8,0.9364754033149594,0.0,Consider planting this week,No action
2015-06-16,40.53,-86.8,0.7892148223832857,0.0,Consider planting this week,No action
2015-07-24,40.53,-86.8,0.7192918759362243,0.0,Consider planting this week,No action
2015-07-28,40.53,-86.8,0.6319860570704233,0.0,Consider planting this week,No action
2016-04-23,40.53,-86.8,0.8945069812870934,0.0,Consider planting this week,No action
